Rk,Date,Lev,Tm,,Opp,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,Pos,E
1,2023-04-06,A-CARL,Delmarva Shorebirds,@,Salem Red Sox,5,4,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,SS,1
2,2023-04-07,A-CARL,Delmarva Shorebirds,@,Salem Red Sox,6,5,1,4,1,0,0,4,1,0,0,0,0,0,1,0,0,SS,0
3,2023-04-08,A-CARL,Delmarva Shorebirds,@,Salem Red Sox,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2B,0
4,2023-04-11,A-CARL,Delmarva Shorebirds,,Kannapolis Cannon Ballers,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,SS,0
5,2023-04-12,A-CARL,Delmarva Shorebirds,,Kannapolis Cannon Ballers,5,4,2,2,1,1,0,4,1,0,1,0,0,0,0,0,0,2B,0
6,2023-04-13,A-CARL,Delmarva Shorebirds,,Kannapolis Cannon Ballers,5,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,SS,0
7,2023-04-15,A-CARL,Delmarva Shorebirds,,Kannapolis Cannon Ballers,5,4,0,2,1,0,0,0,1,0,2,0,0,0,0,0,0,SS,0
8,2023-04-16,A-CARL,Delmarva Shorebirds,,Kannapolis Cannon Ballers,5,4,1,1,0,0,0,1,1,0,0,0,0,0,0,2,0,2B,0
9,2023-04-18,A-CARL,Delmarva Shorebirds,@,Fredericksburg Nationals,5,4,3,2,0,0,0,0,1,0,2,0,0,0,0,0,0,SS,0
10,2023-04-19,A-CARL,Delmarva Shorebirds,@,Fredericksburg Nationals,5,4,1,2,0,0,0,1,1,0,2,0,0,0,0,0,0,SS,0
11,2023-04-20,A-CARL,Delmarva Shorebirds,@,Fredericksburg Nationals,5,2,1,1,0,0,0,0,3,0,1,0,0,0,0,1,0,2B,0
12,2023-04-21,A-CARL,Delmarva Shorebirds,@,Fredericksburg Nationals,6,6,2,3,0,0,2,4,0,0,1,0,0,0,0,0,0,SS,0
13,2023-04-22,A-CARL,Delmarva Shorebirds,@,Fredericksburg Nationals,2,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,pdH,0
