Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-19,27-242,DEN,@,UTA,L (-21),1,33:25,12,17,.706,1,3,.333,2,2,1.000,2,2,4,6,3,0,3,4,27,24.5,-5
2,2,2022-10-21,27-244,DEN,@,GSW,W (+5),1,34:24,7,13,.538,1,2,.500,11,11,1.000,3,9,12,10,0,0,5,4,26,24.9,-3
3,3,2022-10-22,27-245,DEN,,OKC,W (+5),1,38:41,6,10,.600,1,1,1.000,6,9,.667,1,15,16,13,1,1,3,2,19,25.4,+18
4,4,2022-10-24,27-247,DEN,@,POR,L (-25),1,26:58,3,4,.750,0,0,,3,3,1.000,1,8,9,9,0,0,1,5,9,13.8,-10
5,5,2022-10-26,27-249,DEN,,LAL,W (+11),1,34:48,12,17,.706,0,4,.000,7,7,1.000,1,12,13,9,4,0,3,3,31,34.3,+28
6,6,2022-10-28,27-251,DEN,,UTA,W (+16),1,25:28,3,10,.300,0,4,.000,6,8,.750,3,7,10,6,1,1,1,1,12,14.1,+8
7,7,2022-10-30,27-253,DEN,@,LAL,L (-11),1,35:52,8,16,.500,1,5,.200,6,7,.857,4,10,14,6,0,2,2,0,23,24.0,0
8,8,2022-11-03,27-257,DEN,@,OKC,W (+12),1,35:38,6,9,.667,0,0,,3,3,1.000,0,13,13,14,1,0,10,3,15,14.6,+15
9,9,2022-11-05,27-259,DEN,,SAS,W (+25),1,26:34,9,10,.900,1,1,1.000,2,2,1.000,0,6,6,10,2,0,4,2,21,23.6,+20
10,10,2022-11-07,27-261,DEN,@,SAS,W (+6),1,33:57,11,20,.550,0,1,.000,4,5,.800,1,7,8,10,2,3,4,2,26,25.1,+15
11,11,2022-11-09,27-263,DEN,@,IND,W (+3),1,20:42,10,20,.500,1,3,.333,3,3,1.000,1,3,4,6,2,1,1,5,24,19.5,+11
12,12,2022-11-11,27-265,DEN,@,BOS,L (-19),1,29:44,12,20,.600,2,4,.500,3,4,.750,3,5,8,3,0,0,2,4,29,21.5,-14
13,13,2022-11-13,27-267,DEN,@,CHI,W (+23),1,27:36,4,4,1.000,0,0,,0,0,,0,6,6,14,3,0,2,0,8,19.4,+29
