Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-19,21-079,TOR,,CLE,W (+3),1,32:20,7,14,.500,1,1,1.000,0,0,,1,2,3,7,2,1,3,4,15,12.3,+20
2,2,2022-10-21,21-081,TOR,@,BRK,L (-4),1,35:53,7,14,.500,1,2,.500,2,2,1.000,2,5,7,3,2,1,3,2,17,13.9,+2
3,3,2022-10-22,21-082,TOR,@,MIA,L (-3),1,13:14,5,9,.556,0,1,.000,1,3,.333,1,1,2,2,0,1,1,1,11,7.6,-8
4,,2022-10-24,21-084,TOR,@,MIA,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,4,2022-10-26,21-086,TOR,,PHI,W (+10),1,32:40,6,11,.545,1,4,.250,3,3,1.000,1,9,10,5,1,0,0,0,16,18.6,+3
6,5,2022-10-28,21-088,TOR,,PHI,L (-22),1,28:54,4,7,.571,3,4,.750,2,2,1.000,2,4,6,1,1,0,2,1,13,11.6,-21
7,6,2022-10-31,21-091,TOR,,ATL,W (+30),1,33:23,7,14,.500,5,9,.556,2,3,.667,0,7,7,8,1,0,2,3,21,19.1,+31
8,7,2022-11-02,21-093,TOR,@,SAS,W (+43),1,28:00,7,13,.538,1,4,.250,0,0,,1,3,4,5,0,1,2,0,15,12.5,+30
9,8,2022-11-04,21-095,TOR,@,DAL,L (-1),1,38:05,4,12,.333,1,6,.167,2,2,1.000,3,8,11,10,1,0,5,0,11,11.7,+1
10,9,2022-11-06,21-097,TOR,,CHI,W (+9),1,40:05,8,19,.421,2,7,.286,1,2,.500,2,8,10,4,1,0,2,1,19,13.7,+5
11,10,2022-11-07,21-098,TOR,@,CHI,L (-14),1,30:25,2,9,.222,0,2,.000,1,2,.500,1,5,6,5,0,0,1,3,5,2.6,+6
12,11,2022-11-09,21-100,TOR,,HOU,W (+7),1,34:06,6,16,.375,1,4,.250,0,0,,7,1,8,5,0,2,1,1,13,12.9,+6
13,12,2022-11-11,21-102,TOR,@,OKC,L (-19),1,28:38,5,13,.385,1,3,.333,4,6,.667,0,3,3,4,1,2,2,1,15,10.8,-4
14,13,2022-11-12,21-103,TOR,@,IND,L (-14),1,39:01,4,16,.250,0,4,.000,0,0,,4,5,9,5,2,1,2,2,8,6.1,-18
15,14,2022-11-14,21-105,TOR,@,DET,W (+4),1,34:11,4,9,.444,0,1,.000,0,0,,0,5,5,4,1,1,3,3,8,5.1,+1
16,15,2022-11-16,21-107,TOR,,MIA,W (+8),1,41:32,9,14,.643,1,2,.500,0,0,,3,3,6,6,1,1,4,0,19,17.7,+4
17,16,2022-11-19,21-110,TOR,@,ATL,L (-2),1,45:34,11,29,.379,4,8,.500,2,2,1.000,3,8,11,9,1,2,3,3,28,21.1,-1
18,,2022-11-23,21-114,TOR,,BRK,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,,2022-11-26,21-117,TOR,,DAL,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,17,2022-11-28,21-119,TOR,,CLE,W (+12),0,26:31,5,12,.417,1,4,.250,0,0,,1,3,4,5,1,3,2,0,11,10.8,+12
21,18,2022-11-30,21-121,TOR,@,NOP,L (-18),1,21:04,1,7,.143,1,5,.200,1,2,.500,0,1,1,5,1,1,3,1,4,1.2,-14
22,19,2022-12-02,21-123,TOR,@,BRK,L (-9),1,37:12,6,12,.500,1,2,.500,4,7,.571,2,7,9,3,0,0,7,3,17,7.2,-11
23,20,2022-12-03,21-124,TOR,,ORL,W (+13),1,32:48,8,10,.800,0,2,.000,1,3,.333,3,11,14,4,2,1,2,2,17,20.5,+34
24,21,2022-12-05,21-126,TOR,,BOS,L (-6),1,41:07,8,14,.571,1,6,.167,4,6,.667,0,7,7,4,1,1,3,3,21,16.0,-1
25,22,2022-12-07,21-128,TOR,,LAL,W (+13),1,31:19,6,12,.500,1,2,.500,0,0,,5,12,17,4,0,0,3,0,13,13.9,-13
26,23,2022-12-09,21-130,TOR,@,ORL,L (-4),1,32:09,3,7,.429,0,1,.000,0,0,,2,4,6,2,0,0,1,3,6,4.1,-24
27,24,2022-12-11,21-132,TOR,@,ORL,L (-12),1,41:05,3,13,.231,1,3,.333,4,4,1.000,0,2,2,0,1,0,1,5,11,1.7,-16
28,25,2022-12-14,21-135,TOR,,SAC,L (-1),1,39:58,10,16,.625,2,3,.667,5,6,.833,2,5,7,10,0,1,3,0,27,27.0,-2
29,26,2022-12-16,21-137,TOR,,BRK,L (-3),1,40:08,8,18,.444,0,2,.000,10,11,.909,0,3,3,3,1,0,1,4,26,17.6,-7
30,27,2022-12-18,21-139,TOR,,GSW,L (-16),1,31:35,7,16,.438,1,3,.333,2,2,1.000,2,3,5,4,1,0,3,1,17,11.3,-12
31,28,2022-12-19,21-140,TOR,@,PHI,L (-3),1,29:46,3,9,.333,0,3,.000,0,0,,1,2,3,3,0,0,2,3,6,1.1,-2
32,29,2022-12-21,21-142,TOR,@,NYK,W (+7),1,26:48,1,10,.100,0,2,.000,0,0,,4,2,6,3,0,0,0,1,2,0.5,-16
33,30,2022-12-23,21-144,TOR,@,CLE,W (+11),1,40:15,10,16,.625,0,1,.000,5,5,1.000,4,6,10,4,2,0,2,4,25,23.6,+12
34,31,2022-12-27,21-148,TOR,,LAC,L (-11),1,36:33,8,15,.533,0,2,.000,1,1,1.000,3,9,12,8,1,1,2,1,17,19.4,-6
35,32,2022-12-29,21-150,TOR,,MEM,L (-13),1,34:59,7,18,.389,0,1,.000,0,1,.000,7,3,10,4,3,1,2,3,14,12.9,-6
36,33,2022-12-30,21-151,TOR,,PHO,W (+9),1,38:13,4,12,.333,1,4,.250,2,2,1.000,3,2,5,3,3,1,1,0,11,11.7,+14
37,34,2023-01-02,21-154,TOR,@,IND,L (-8),1,39:41,8,14,.571,1,2,.500,6,8,.750,2,6,8,8,0,2,3,4,23,21.2,+16
38,35,2023-01-04,21-156,TOR,,MIL,L (-3),1,34:57,9,19,.474,0,4,.000,1,3,.333,1,3,4,3,0,1,1,5,19,9.9,-1
39,36,2023-01-06,21-158,TOR,,NYK,L (-4),1,35:35,2,10,.200,0,0,,3,4,.750,2,4,6,5,1,1,1,3,7,6.0,-8
40,37,2023-01-08,21-160,TOR,,POR,W (+12),1,29:05,7,12,.583,1,3,.333,7,8,.875,3,6,9,4,3,2,1,3,22,24.9,+9
41,38,2023-01-10,21-162,TOR,,CHO,W (+12),1,30:36,2,5,.400,0,1,.000,3,4,.750,2,3,5,7,1,0,0,0,7,12.1,+3
42,39,2023-01-12,21-164,TOR,,CHO,W (+10),1,34:17,8,14,.571,0,0,,5,6,.833,2,5,7,9,0,2,0,4,21,23.0,+15
43,40,2023-01-14,21-166,TOR,,ATL,L (-11),1,36:38,9,16,.563,0,1,.000,9,10,.900,3,9,12,2,3,1,3,1,27,25.5,-10
44,41,2023-01-16,21-168,TOR,@,NYK,W (+2),1,44:49,8,16,.500,1,2,.500,9,13,.692,6,1,7,4,1,2,3,3,26,21.9,+8
45,42,2023-01-17,21-169,TOR,@,MIL,L (-8),1,36:43,6,15,.400,0,3,.000,2,5,.400,6,7,13,5,3,1,3,1,14,14.8,-7
46,43,2023-01-19,21-171,TOR,@,MIN,L (-2),1,38:58,11,15,.733,1,1,1.000,6,7,.857,2,6,8,5,2,0,2,4,29,27.6,+3
47,44,2023-01-21,21-173,TOR,,BOS,L (-2),1,42:17,4,9,.444,2,2,1.000,0,0,,0,3,3,5,0,3,2,1,10,9.4,+1
48,45,2023-01-22,21-174,TOR,,NYK,W (+9),1,36:41,7,15,.467,1,4,.250,4,5,.800,3,4,7,6,1,2,0,2,19,20.0,+11
49,46,2023-01-25,21-177,TOR,@,SAC,W (+18),1,38:11,3,8,.375,0,2,.000,1,2,.500,2,4,6,10,2,0,1,4,7,11.2,+22
50,47,2023-01-27,21-179,TOR,@,GSW,L (-12),1,36:33,9,15,.600,2,3,.667,4,5,.800,0,6,6,5,0,2,2,4,24,19.8,-2
51,48,2023-01-28,21-180,TOR,@,POR,W (+18),1,37:44,7,12,.583,0,1,.000,4,4,1.000,4,6,10,7,0,0,0,1,18,21.5,+26
