x,y,z,intensity,volume,csv_path
22.803,9.024,4.181,56620971,437.896,Q6.13/R_3Rxaf07hES8CPgE_nuclei1.csv
5.669,9.164,5.376,63811635,482.954,Q6.13/R_3Rxaf07hES8CPgE_nuclei1.csv
24.999,8.223,13.036,57406958,441.048,Q6.13/R_3Rxaf07hES8CPgE_nuclei1.csv
13.722,23.521,8.778,78224458,522.32,Q6.13/R_3Rxaf07hES8CPgE_nuclei1.csv
22.547,26.006,9.65,69841365,473.768,Q6.13/R_3Rxaf07hES8CPgE_nuclei1.csv
22.8831,9.07639,4.27593,,,Q6.13/R_2cC2iQifrFmuClP_nuclei1.csv
5.65736,9.18127,5.51989,,,Q6.13/R_2cC2iQifrFmuClP_nuclei1.csv
14.0088,23.7534,8.8713,,,Q6.13/R_2cC2iQifrFmuClP_nuclei1.csv
22.2915,26.1261,9.75919,,,Q6.13/R_2cC2iQifrFmuClP_nuclei1.csv
25.031,8.25037,13.1874,,,Q6.13/R_2cC2iQifrFmuClP_nuclei1.csv
22.3265,25.9982,9.7284,68856900,456.441,Q6.13/R_1M6DoAmYEY3Jrvm_nuclei1.csv
13.9651,23.6146,8.86311,78190300,513.482,Q6.13/R_1M6DoAmYEY3Jrvm_nuclei1.csv
25.028,8.27525,13.1853,51912000,373.29,Q6.13/R_1M6DoAmYEY3Jrvm_nuclei1.csv
22.8094,9.10343,4.22221,51207500,371.63,Q6.13/R_1M6DoAmYEY3Jrvm_nuclei1.csv
5.71527,9.21261,5.49646,58875200,422.359,Q6.13/R_1M6DoAmYEY3Jrvm_nuclei1.csv
8.9534260073,22.7924754594,4.1993006623,66364404,578.6293310375,Q6.13/R_31bjqd6Mm8wBxN5_nuclei1.csv
9.0173656312,5.7160218812,5.4155826836,75119277,643.6228168512,Q6.13/R_31bjqd6Mm8wBxN5_nuclei1.csv
23.5307307536,13.6204186465,8.7645454545,89603018,656.8937380382,Q6.13/R_31bjqd6Mm8wBxN5_nuclei1.csv
